label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
iy,0.673770555799,0.277292663698,-0.396942386682,0.654128360002,0.88041824373,-0.137653284261,0.32614101033,-0.835077460415,0.43918958037,-0.774110050161,0.593645293205,-0.767075800264,0.280092206977,-0.339226585618,-0.0903201387911
aa,0.803438999193,-0.252677754933,-0.749570243261,0.687770346508,0.150040172351,-0.108910044614,0.602741511745,0.0404139505808,0.500135392781,0.331149924706,0.615550751081,-0.285489012503,-0.798348503304,0.597265797788,-0.940225498948
en,0.398910781422,0.00265705677258,-0.00188363941163,0.0577128994132,0.147467608318,0.348824226854,-0.647674977302,-0.526928285475,-0.554472617676,0.335613693677,0.774855662816,0.0730938588164,0.420180070115,-0.269192711902,-0.0260254684235
ae,-0.00891540742234,-0.331968633937,-0.943558931703,0.124695490917,0.571669739884,-0.120359297711,0.943385755731,-0.883820345409,-0.446899066671,-0.478026003713,0.787162377983,0.134652196462,0.458446842418,0.690254213281,-0.724672647987
eh,0.920311818654,-0.991729998873,-0.646186703503,0.28503148712,-0.0673940334625,0.0451698330375,1.03795630594,-0.0825529264486,0.233119882738,-0.293144523217,0.703987028263,-0.382337188139,0.409030220102,0.42560500685,-0.407719466658
el,0.92049227839,0.365000183782,-0.683135439371,-0.055039206652,0.677541389664,0.301492185073,-0.47497374986,-0.0863953236372,-0.127709330535,-0.27621627509,0.17695503704,-0.630641150406,-0.252250859924,-0.272579330846,0.3353000153
ah,0.810482552108,-0.615251711058,-0.661666611721,0.746784157501,0.175624698039,-0.0577690348328,0.918335353369,-0.616049227034,0.105811813926,0.542462670395,1.10825158896,-0.0832559085013,-0.189109314071,-0.613761716837,-0.0469863030635
ahn,0.408817328495,-0.0874997330426,-0.250170478495,0.134531424892,0.133337896676,0.0196484160727,0.124916417103,-0.114345657058,-0.146835106637,0.00633389691504,0.362341583249,-0.344493719449,0.0660618679823,-0.121442767352,-0.0583590231535
ow,0.831726249243,-0.713614021164,-0.629089522003,0.554445088005,0.852965101085,-0.672699697068,-0.142255741777,0.402765322204,0.81748048171,-0.28939023096,1.07752380592,0.180315165879,0.377445922759,0.441614450317,-0.269849050371
ao,0.698529800366,-0.774923994961,0.360211804287,0.676447313913,0.91750185759,0.0890733745117,0.707662144459,0.151224311719,0.341641704119,-0.0152457064826,-0.00761288936168,-0.88520285324,-0.330281749555,0.221934050782,-0.91347546827
w,-0.880022402799,-0.185474983162,-0.701080853045,-0.738398071857,0.225842438479,0.0929123344257,-0.249479522587,0.565660106318,0.481284305832,0.150107946614,-0.951021993891,-0.225860408619,0.401566492414,0.170398603675,-0.698483350428
ih,0.862307161339,-0.641246029796,0.387738823663,0.729449393241,0.425056458298,0.556228899835,0.644251441133,-0.759129599576,-0.423182883741,0.0457051635078,0.961166779822,-0.142229574396,0.368844106599,0.456623368781,-0.354559042458
ch,-0.0995835780483,-0.238941607985,0.0305181026787,-0.259542149928,-0.230608046722,-0.385218560258,-0.624840968726,0.478956108299,0.762180662838,0.125209326373,-0.0712492553455,-0.655355308344,-0.484570875153,-0.0089634050083,0.472512089439
ey,0.738119320542,-0.448943554597,-0.64031010484,0.124415039241,0.533153845731,-0.512101805865,0.242261285006,-0.85062541936,-0.122530292907,0.593837173065,0.561733528957,-0.782437613729,0.706298922505,0.402561926977,-0.0159984503902
aw,0.53995357813,-0.142176650687,-0.826495033735,0.44789622003,-0.165003552819,-0.0286276593936,-0.0958703103196,-0.783795590491,0.0262022432713,-0.412472159507,0.661983124235,0.15241344573,-0.340235931038,0.637766655651,-0.46350125547
ay,-0.271214551402,0.0275917277741,-0.859447291928,0.983312517461,0.742315145782,-0.650836000698,0.682835328181,-0.163686854747,-0.000559541115452,0.540487160439,0.80685109973,-0.919555192997,0.505702312819,0.213319860597,-0.826499860981
zh,-0.08095383606,0.143849442329,0.160721990907,0.151029408867,-0.0554767995593,-0.392364964107,-0.487730774226,0.109735383055,0.0746134388785,-0.167979316733,-0.0875708374538,-0.350474717892,-0.0205715510284,0.181331547188,0.17368081292
tq,0.562153292935,0.486230334664,0.357727652578,-0.314121080869,-0.48595104701,-0.713448000386,-0.403709509348,0.576964906173,-0.686257900354,-0.312290042412,0.532317726319,-0.303991942373,-0.845547669475,-0.585346888643,0.591664896002
er,0.714899807992,-0.3969651031,-0.884469293422,-0.0100497742721,0.799338864597,0.153651207207,0.537408494492,0.498868713978,-0.636906180922,-0.415542795199,0.392830004159,-0.190783110625,0.434863697335,-0.311725016729,0.339846809466
#,0.766903503061,0.915324639947,0.89253257131,-1.0497824743,0.450591556913,-0.828682770539,0.861867764438,-0.497380545183,0.828617344554,0.382566069642,-0.921419243959,0.873251331376,0.343613054684,0.39973960742,0.893407767269
ayn,0.227379357969,-0.0509698987881,-0.209152049172,0.179659742665,0.215984636762,-0.156569400018,-0.0640946107535,0.00993654884139,-0.0589327088697,0.0070071499741,0.124033320505,-0.208797918006,0.0456402569094,0.0615030497185,-0.0331932669967
eng,0.25230388708,0.00737246685115,-0.11835928345,0.144686036308,0.121299758252,-0.115221285904,-0.196273714395,0.103324798752,-0.105660716639,0.0435726180482,0.156864996819,-0.234334704216,0.0675451040143,0.0269045818348,0.0472259219488
aan,0.300361082224,-0.126374390288,-0.313572212559,0.103834156979,0.15057346194,0.0127688856359,0.0627350406994,-0.0491424988919,-0.0730060780191,0.0894977600635,0.195703390724,-0.319293468978,-0.0324701386258,0.0410498550137,-0.0272463186149
eyn,0.238629308286,-0.08820201482,-0.164318753688,0.148207106406,0.175623095058,-0.0469201499873,-0.0463115718109,-0.0819555229841,-0.00415819389515,0.0027254170586,0.181118029377,-0.214862929967,0.0722453155084,0.109191062752,-0.0219916620302
nx,-0.665056248516,0.754786579176,-0.0026037235756,0.101275676044,-0.586770787682,0.0247204597722,-0.397977918063,0.753274414878,-0.530512731839,-0.0973635155418,-0.559452886235,-0.356626995544,0.150491556201,-0.3577205005,0.795921648759
oyn,0.214949455412,-0.0523474935981,-0.26018094637,0.127884861689,0.139764451841,-0.00942091097435,-0.12403482601,-0.00550599404039,-0.0160715574589,0.004890274635,0.118490922368,-0.21299042327,-0.0180083431264,0.121182082062,0.00338414043713
r,0.653647390424,-0.346308492083,-0.918978144202,0.213134094067,0.669048768115,1.01451130942,-0.692848097253,0.660364870514,-0.815039756594,0.180248612223,-0.913313892484,0.417261200608,-0.0247700008055,0.399871416011,0.815228318375
th,-0.22410154366,-0.279363177467,0.22390439515,0.507811309354,-0.10945856412,-0.449445626423,-0.460198094399,0.498731256576,0.445864594808,0.234759812037,-0.322089928444,-0.71836199066,0.149421612315,-0.15536259456,0.351502936605
t,-0.629836136251,-0.649026343646,0.0654384909143,-0.881965840983,0.729180547367,-0.853206347789,-0.672522791708,0.405277179483,-0.0526358002487,0.438626568661,0.397735420828,-0.447615144422,-0.723748111326,-0.325201578106,0.853967171316
ehn,0.319396460735,-0.129669206204,-0.353783572434,0.139170131145,0.0303704546423,-0.00394126502751,-0.0214382817385,-0.143760792214,-0.0670118128501,0.0441793672925,0.332930932493,-0.322229487389,0.11589964528,0.0989804473377,-0.0279611868888
